id,reference
0, 43.961749
1, 54.680753
2, 26.927318
3, 54.680753
4, 53.234853
5, 47.902472
6, 46.867939
7, 66.213091
8, 53.773878
9, 54.680753
10, 45.202827
11, 54.680753
12, 66.213091
13, 22.229958
14, 53.773878
15, 63.038820
16, 43.961749
17, 70.757828
18, 53.191076
19, 71.692224
20, 42.901612
21, 36.249707
22, 36.931254
23, 45.202827
24, 18.001205
25, 65.221547
26, 48.601906
27, 45.202827
28, 16.834487
29, 71.692224
30, 57.723054
31, 45.202827
32, 72.918444
33, 70.757828
34, 50.189263
35, 70.827684
36, 42.901612
37, 68.935076
38, 20.595126
39, 45.276305
40, 45.202827
41, 43.961749
42, 45.276305
43, 42.733725
44, 44.822646
45, 45.202827
46, 45.276305
47, 50.189263
48, 40.797084
49, 45.202827
50, 47.835807
51, 17.647743
52, 53.773878
53, 43.622379
54, 71.692224
55, 52.180232
56, 45.276305
57, 29.137768
58, 68.935076
59, 72.893096
60, 45.202827
61, 46.867939
62, 45.276305
63, 42.669964
64, 43.961749
65, 55.366799
66, 22.229958
67, 45.202827
68, 31.924820
69, 53.234853
70, 52.180232
71, 45.276305
72, 50.189263
73, 22.786459
74, 36.931254
75, 44.834350
76, 38.703198
77, 36.093323
78, 44.834350
79, 68.935076
80, 52.180232
81, 27.786996
82, 43.555352
83, 53.234853
84, 70.757828
85, 38.703198
86, 45.202827
87, 18.001205
88, 43.961749
89, 47.902472
90, 47.902472
91, 44.834350
92, 26.297342
93, 53.234853
94, 55.426950
95, 47.902472
96, 36.931254
97, 52.180232
98, 42.901612
99, 48.601906
100, 43.961749
101, 70.706011
102, 33.931911
103, 42.733725
104, 42.675971
105, 48.601906
106, 71.893556
107, 45.202827
108, 73.436304
109, 53.773878
110, 36.698718
111, 29.137768
112, 47.902472
113, 18.001205
114, 42.733725
115, 52.180232
116, 46.867939
117, 36.698718
118, 68.901986
119, 72.918444
120, 43.555352
121, 21.153200
122, 45.202827
123, 44.834350
124, 34.620077
125, 16.723788
126, 50.189263
127, 43.555352
128, 33.931911
129, 70.776200
130, 17.647743
131, 39.764901
132, 39.764901
133, 52.180232
134, 72.556369
135, 36.249707
136, 42.733725
137, 20.595126
138, 67.117206
139, 45.202827
140, 69.523845
141, 18.001205
142, 70.706011
143, 53.234853
144, 36.698718
145, 43.961749
