id,reference
0,30.569992
1,69.359908
2,19.343658
3,71.618100
4,48.758527
5,56.839861
6,51.036315
7,71.492862
8,62.022275
9,56.379878
10,35.585348
11,67.104544
12,75.610374
13,19.566779
14,71.007551
15,77.577741
16,22.334569
17,75.791724
18,59.311622
19,90.827261
20,26.320783
21,31.286402
22,32.981586
23,43.691533
24,8.073022
25,64.455567
26,54.031710
27,33.807255
28,13.317046
29,86.781016
30,64.992834
31,36.349746
32,90.941587
33,86.259262
34,52.866395
35,90.489599
36,41.634600
37,77.182830
38,15.153454
39,43.765097
40,39.091161
41,39.033721
42,38.235222
43,28.896228
44,31.238325
45,42.501060
46,31.604406
47,51.290877
48,37.396699
49,36.041273
50,28.950073
51,8.083238
52,56.037451
53,67.788404
54,95.360504
55,59.454315
56,28.279857
57,19.603584
58,83.023891
59,90.406740
60,51.043025
61,40.345959
62,41.539902
63,37.271390
64,31.162679
65,69.277988
66,14.338437
67,27.492473
68,22.263657
69,43.684467
70,55.305420
71,29.196806
72,57.211017
73,10.773965
74,32.343799
75,47.464331
76,29.391348
77,30.512541
78,43.040151
79,75.774238
80,70.737454
81,14.757989
82,43.813760
83,73.647344
84,91.427949
85,31.884741
86,39.916379
87,13.932185
88,35.271370
89,62.093829
90,56.787890
91,39.348220
92,19.178092
93,32.783009
94,63.819263
95,36.003639
96,25.183693
97,52.080813
98,42.207719
99,60.143128
100,31.368546
101,82.201412
102,18.471169
103,32.610047
104,27.907710
105,51.505650
106,89.458034
107,49.802552
108,89.098700
109,48.942089
110,31.526719
111,20.739220
112,61.060329
113,7.300375
114,31.440241
115,48.208207
116,48.015512
117,27.547370
118,76.475812
119,81.469367
120,35.676613
121,9.709591
122,43.945186
123,28.087158
124,31.278311
125,14.077257
126,54.638792
127,32.134171
128,18.500088
129,80.358187
130,11.945622
131,22.047448
132,30.836960
133,53.591669
134,86.792333
135,25.966282
136,32.869138
137,10.741474
138,79.775995
139,40.635278
140,84.881977
141,8.093817
142,78.256198
143,56.761020
144,33.517691
145,34.120118
146,63.382873
147,76.923288
148,37.626603
149,28.743370
150,9.980028
151,66.405324
152,48.801919
153,29.441167
154,36.089924
155,23.658506
156,74.170260
157,18.134512
158,41.962459
159,92.357322
160,79.641122
161,81.376074
162,42.249657
163,36.777510
164,82.267032
165,50.358813
166,86.518568
167,47.651135
168,30.111885
169,45.927184
170,25.673485
171,11.324459
172,31.129531
173,22.922357
174,79.295120
175,39.590260
176,32.191012
177,38.874132
178,47.588561
179,82.448938
180,18.300660
181,49.050257
182,72.786814
183,93.158889
184,34.978082
185,32.919000
186,8.134780
187,9.303922
188,83.267062
189,46.079687
190,87.266888
191,91.477986
192,8.228398
193,34.491907
194,42.473027
195,72.129898
196,18.270829
197,64.726733
198,24.769708
199,9.187811
200,93.601246
201,85.437585
202,75.924553
203,63.986178
204,78.454808
205,65.898014
206,77.291663
207,64.233790
208,13.558984
209,49.724214
210,27.217803
211,27.420455
212,16.946228
213,82.241145
214,19.586658
215,28.815540
216,42.634434
217,75.357967
218,25.430409
219,26.556112
220,32.406313
221,65.227564
222,40.331169
223,58.339753
224,73.765636
225,69.963931
226,4.065673
227,48.906369
228,24.491494
229,47.095133
230,50.109265
231,43.863127
232,64.116130
233,84.884127
234,38.886285
235,54.338857
236,47.653085
237,48.760309
238,59.241838
239,46.776880
240,75.221664
241,4.023393
242,21.255202
243,26.606793
244,72.071968
245,39.301224
246,38.509045
247,32.571788
248,10.434484
249,89.177508
250,35.604786
251,65.317180
252,52.915837
253,28.173530
254,12.879797
255,25.980644
256,54.051448
257,35.722343
258,31.684550
259,10.947047
260,61.616694
261,31.704420
262,48.491852
263,32.972716
264,77.300302
265,74.106917
266,88.600948
267,35.800522
268,55.003753
269,88.039172
270,72.955944
271,59.008471
272,34.357280
273,36.488136
274,28.539690
275,40.250813
276,60.121938
277,62.666238
278,43.136569
279,31.494527
280,54.666598
281,29.312197
282,60.211953
283,30.001052
284,51.693345
285,35.318658
286,11.087891
287,51.628893
288,52.034198
289,75.156326
290,86.716575
291,33.892326
292,63.155233
293,40.220484
294,29.047641
295,79.566754
296,13.473558
297,29.020797
298,15.406680
299,49.207333
300,86.846345
301,82.476392
302,51.207349
303,16.192648
304,44.808706
305,50.490872
306,36.213525
307,45.711293
308,23.414268
309,79.713753
310,23.344417
311,37.381226
312,31.760418
313,73.544333
314,79.601887
315,47.721683
316,49.476480
317,36.204661
318,91.485580
319,9.284783
320,33.981429
321,46.559392
322,32.370564
323,29.250230
324,57.079062
325,66.230750
326,43.641589
327,54.733279
328,23.427902
329,43.319794
330,50.740415
331,68.644245
332,49.013727
333,29.394959
334,57.176031
335,52.742266
336,17.410632
337,65.032241
338,28.403773
339,23.400467
340,33.068578
341,34.279887
342,26.885279
343,45.650557
344,49.486936
345,20.192267
346,20.440016
347,8.058299
348,21.128710
349,27.804180
350,43.501705
351,28.536021
352,55.652670
353,62.409969
354,21.288612
355,55.522808
356,78.957227
357,31.502489
358,89.761459
359,27.898212
360,22.816228
361,6.621315
362,40.943617
363,86.263340
364,32.494612
365,49.819301
366,36.445263
367,48.825122
368,34.519723
369,68.130422
370,69.927871
371,29.850595
372,10.041446
373,35.547246
374,25.796095
375,10.647446
376,26.748068
377,38.865297
378,87.312889
379,45.166315
380,12.357385
381,8.793558
382,91.188552
383,51.971256
384,80.260606
385,46.013780
386,70.135461
387,36.885923
388,30.458020
389,36.056307
390,30.525736
391,51.431040
392,44.964840
393,66.065957
394,14.915879
395,34.364857
396,59.272752
397,31.520018
398,47.814105
399,25.561171
400,21.287645
401,86.939913
402,34.227823
403,10.672029
404,53.060973
405,31.455884
406,30.054754
407,53.241855
408,50.972623
409,40.021961
410,46.889185
411,33.770568
412,35.103826
413,22.923095
